This list contains all games supported by FB Alpha Plus!.

698 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| armwar	|   NW	| "armwar"						| 		| 1994	| CPS2		| 		| Capcom				|
| choko		|   NW	| "choko"						| 		| 2001	| CPS2		| 		| Mitchell				|
| cybots	|   NW	| "cybots"						| 		| 1995	| CPS2		| 		| Capcom				|
| getstar	|   NW	| "getstar"						| 		| 1986	| Early Toaplan	| 		| Taito					|
| jgokushi	|   NW	| "jgokushi"						| 		| 1999	| CPS2		| 		| Capcom				|
| msh		|   NW	| "msh"							| 		| 1995	| CPS2		| 		| Capcom				|
| mshvsf	|   NW	| "mshvsf"						| 		| 1997	| CPS2		| 		| Capcom				|
| mvsc		|   NW	| "mvsc"						| 		| 1998	| CPS2		| 		| Capcom				|
| rckmanj	|   NW	| "rckmanj"						| 		| 1995	| CPS2		| 		| Capcom				|
| vhunt2	|   NW	| "vhunt2"						| 		| 1997	| CPS2		| 		| Capcom				|
| xmvsf		|   NW	| "xmvsf"						| 		| 1996	| CPS2		| 		| Capcom				|
| 4play		| X	| * 4 player input test					| 		| ???	| SNK		| Neo Geo	| 4 player  input test cartridge	|
| 1941j		|  	| 1941 - counter attack (Japan)				| 1941		| 1990	| Capcom	| CPS1		| Japan region				|
| 1941		|  	| 1941 - Counter Attack (World)				| 		| 1990	| Capcom	| CPS1		| 					|
| 1944j		|   NW	| 1944 - the loop master (000620 Japan)			| 1944		| 2000	| Capcom / 8ing | CPS2		| Encrypted				|
| 1944		|  	| 1944 - the loop master (000620 USA)			| 		| 2000	| Capcom / 8ing | CPS2		| 					|
| 19xxa		|  	| 19XX - the war against destiny (951207 Asia)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxjr1	|  	| 19XX - the war against destiny (951207 Japan)		| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xx		|  	| 19XX - the war against destiny (951207 USA)		| 		| 1995	| Capcom	| CPS2		| 					|
| 19xxh		|  	| 19XX - the war against destiny (951218 Hispanic)	| 19xx		| 1995	| Capcom	| CPS2		| 					|
| 19xxj		|   NW	| 19XX - the war against destiny (951225 Japan)		| 19xx		| 1995	| Capcom	| CPS2		| Encrypted				|
| 2020bb	|  	| 2020 Super Baseball (set 1)				| 		| 1991	| SNK / Pallas	| Neo Geo	| 					|
